race_id,snapshot_time,ticket_type,combination,odds,source
202311010601,2023-11-01 09:30:00,単勝,1,3.7,dummy
202311010601,2023-11-01 09:30:00,単勝,2,5.4,dummy
202311010601,2023-11-01 09:30:00,単勝,3,7.1,dummy
202311010601,2023-11-01 09:30:00,単勝,4,8.8,dummy
202311010601,2023-11-01 09:30:00,単勝,5,10.5,dummy
202311010601,2023-11-01 09:30:00,単勝,6,12.2,dummy
202311010601,2023-11-01 09:30:00,単勝,7,13.9,dummy
202311010601,2023-11-01 09:30:00,単勝,8,15.6,dummy
202311020602,2023-11-02 09:30:00,単勝,1,5.6,dummy
202311020602,2023-11-02 09:30:00,単勝,2,7.3,dummy
202311020602,2023-11-02 09:30:00,単勝,3,9.0,dummy
202311020602,2023-11-02 09:30:00,単勝,4,10.7,dummy
202311020602,2023-11-02 09:30:00,単勝,5,12.4,dummy
202311020602,2023-11-02 09:30:00,単勝,6,14.1,dummy
202311020602,2023-11-02 09:30:00,単勝,7,15.8,dummy
202311020602,2023-11-02 09:30:00,単勝,8,3.9,dummy
202311030603,2023-11-03 09:30:00,単勝,1,7.5,dummy
202311030603,2023-11-03 09:30:00,単勝,2,9.2,dummy
202311030603,2023-11-03 09:30:00,単勝,3,10.9,dummy
202311030603,2023-11-03 09:30:00,単勝,4,12.6,dummy
202311030603,2023-11-03 09:30:00,単勝,5,14.3,dummy
202311030603,2023-11-03 09:30:00,単勝,6,16.0,dummy
202311030603,2023-11-03 09:30:00,単勝,7,4.1,dummy
202311030603,2023-11-03 09:30:00,単勝,8,5.8,dummy
202311040604,2023-11-04 09:30:00,単勝,1,9.4,dummy
202311040604,2023-11-04 09:30:00,単勝,2,11.1,dummy
202311040604,2023-11-04 09:30:00,単勝,3,12.8,dummy
202311040604,2023-11-04 09:30:00,単勝,4,14.5,dummy
202311040604,2023-11-04 09:30:00,単勝,5,16.2,dummy
202311040604,2023-11-04 09:30:00,単勝,6,4.3,dummy
202311040604,2023-11-04 09:30:00,単勝,7,6.0,dummy
202311040604,2023-11-04 09:30:00,単勝,8,7.7,dummy
202311050605,2023-11-05 09:30:00,単勝,1,11.3,dummy
202311050605,2023-11-05 09:30:00,単勝,2,13.0,dummy
202311050605,2023-11-05 09:30:00,単勝,3,14.7,dummy
202311050605,2023-11-05 09:30:00,単勝,4,16.4,dummy
202311050605,2023-11-05 09:30:00,単勝,5,4.5,dummy
202311050605,2023-11-05 09:30:00,単勝,6,6.2,dummy
202311050605,2023-11-05 09:30:00,単勝,7,7.9,dummy
202311050605,2023-11-05 09:30:00,単勝,8,9.6,dummy
202311060606,2023-11-06 09:30:00,単勝,1,12.2,dummy
202311060606,2023-11-06 09:30:00,単勝,2,13.9,dummy
202311060606,2023-11-06 09:30:00,単勝,3,15.6,dummy
202311060606,2023-11-06 09:30:00,単勝,4,3.7,dummy
202311060606,2023-11-06 09:30:00,単勝,5,5.4,dummy
202311060606,2023-11-06 09:30:00,単勝,6,7.1,dummy
202311060606,2023-11-06 09:30:00,単勝,7,8.8,dummy
202311060606,2023-11-06 09:30:00,単勝,8,10.5,dummy
202311070607,2023-11-07 09:30:00,単勝,1,14.1,dummy
202311070607,2023-11-07 09:30:00,単勝,2,15.8,dummy
202311070607,2023-11-07 09:30:00,単勝,3,3.9,dummy
202311070607,2023-11-07 09:30:00,単勝,4,5.6,dummy
202311070607,2023-11-07 09:30:00,単勝,5,7.3,dummy
202311070607,2023-11-07 09:30:00,単勝,6,9.0,dummy
202311070607,2023-11-07 09:30:00,単勝,7,10.7,dummy
202311070607,2023-11-07 09:30:00,単勝,8,12.4,dummy
202311080608,2023-11-08 09:30:00,単勝,1,16.0,dummy
202311080608,2023-11-08 09:30:00,単勝,2,4.1,dummy
202311080608,2023-11-08 09:30:00,単勝,3,5.8,dummy
202311080608,2023-11-08 09:30:00,単勝,4,7.5,dummy
202311080608,2023-11-08 09:30:00,単勝,5,9.2,dummy
202311080608,2023-11-08 09:30:00,単勝,6,10.9,dummy
202311080608,2023-11-08 09:30:00,単勝,7,12.6,dummy
202311080608,2023-11-08 09:30:00,単勝,8,14.3,dummy
202311090609,2023-11-09 09:30:00,単勝,1,4.3,dummy
202311090609,2023-11-09 09:30:00,単勝,2,6.0,dummy
202311090609,2023-11-09 09:30:00,単勝,3,7.7,dummy
202311090609,2023-11-09 09:30:00,単勝,4,9.4,dummy
202311090609,2023-11-09 09:30:00,単勝,5,11.1,dummy
202311090609,2023-11-09 09:30:00,単勝,6,12.8,dummy
202311090609,2023-11-09 09:30:00,単勝,7,14.5,dummy
202311090609,2023-11-09 09:30:00,単勝,8,16.2,dummy
202311100610,2023-11-10 09:30:00,単勝,1,6.2,dummy
202311100610,2023-11-10 09:30:00,単勝,2,7.9,dummy
